# 대한민국 선거의 대수와 날짜 — 정본.
#
# 왜 표인가. 개인 역사의 이야기는 선거를 **대수로** 부른다 ("제7대 대통령
# 선거에서 …"). 그런데 그 문장은 해를 같이 적지 않는 일이 흔해서, 모델이 같은
# 문단의 다른 해를 끌어다 붙인다 (2026-09-11: 1971년 제7대 대통령 선거가
# 1967년으로 섰다 — 같은 문단에 1967년 제7대 **국회의원** 선거가 있었다).
# 대수와 해의 짝은 사람이 외울 것이 아니라 표가 아는 것이다.
#
# 그래프에는 이 사건들이 거의 없다 (수집이 준 것은 제헌 국회의원 선거와
# 제21대 대통령 선거 둘뿐이다). 그래서 여기 적는다 — 그래프에 선거 노드가
# 들어오면 그때는 그쪽이 정본이 되고 이 표는 대조용으로 남는다.
#
# 칸: 종류<TAB>대수<TAB>날짜<TAB>근거
#   종류  대통령 · 국회의원 (이름의 '제N대 ○○ 선거' 와 맞춘다)
#   대수  숫자. 제헌 국회의원 선거는 제1대다.
#   날짜  YYYY-MM-DD. 하루까지 모르면 YYYY-MM 이나 YYYY 까지만 적는다 (관문은 해만 쓴다).
#   근거  어디서 온 날짜인지
#
# 읽는 곳: src/histgraph/life.py 의 `elections()` · `gate_elections()`
대통령	1	1948-07-20	제헌국회 간접선거 (이승만)
대통령	2	1952-08-05	발췌개헌 뒤 첫 직선 (이승만)
대통령	3	1956-05-15	이승만·신익희 — 신익희 선거 도중 사망
대통령	4	1960-03-15	3·15 부정선거로 무효. 같은 해 8월 12일 국회가 윤보선을 제4대 대통령으로 선출
대통령	5	1963-10-15	박정희·윤보선
대통령	6	1967-05-03	박정희·윤보선
대통령	7	1971-04-27	박정희·김대중
대통령	8	1972-12-23	통일주체국민회의 간접선거 (박정희)
대통령	9	1978-07-06	통일주체국민회의 (박정희)
대통령	10	1979-12-06	통일주체국민회의 (최규하)
대통령	11	1980-08-27	통일주체국민회의 (전두환)
대통령	12	1981-02-25	대통령선거인단 (전두환)
대통령	13	1987-12-16	6월 항쟁 뒤 직선제 회복 (노태우)
대통령	14	1992-12-18	김영삼
대통령	15	1997-12-18	김대중
대통령	16	2002-12-19	노무현
대통령	17	2007-12-19	이명박
대통령	18	2012-12-19	박근혜
대통령	19	2017-05-09	탄핵에 따른 보궐선거 (문재인)
대통령	20	2022-03-09	윤석열
대통령	21	2025-06-03	그래프에도 있다 (wd:Q117433900)
국회의원	1	1948-05-10	제헌 국회의원 선거. 그래프에도 있다 (wd:Q488133)
국회의원	2	1950-05-30
국회의원	3	1954-05-20
국회의원	4	1958-05-02
국회의원	5	1960-07-29	4·19 뒤 민의원·참의원 선거
국회의원	6	1963-11-26
국회의원	7	1967-06-08	김대중 목포시 당선
국회의원	8	1971-05-25	김대중 전국구 당선
국회의원	9	1973-02-27	유신 뒤 첫 선거
국회의원	10	1978-12-12
국회의원	11	1981-03-25
국회의원	12	1985-02-12
국회의원	13	1988-04-26	소선거구제 환원
국회의원	14	1992-03-24
국회의원	15	1996-04-11
국회의원	16	2000-04-13
국회의원	17	2004-04-15
국회의원	18	2008-04-09
국회의원	19	2012-04-11
국회의원	20	2016-04-13
국회의원	21	2020-04-15
국회의원	22	2024-04-10
